Rank,Metropolitan Statistical Area,2015 Estimate,2010 Census,Change,Encompassing Combined Statistical Area
223,"Gainesville, GA Metropolitan Statistical Area","193535","179684",7.71%,"Atlanta Athens-Clarke County Sandy Springs, GA Combined Statistical Area"
224,"Saginaw, MI Metropolitan Statistical Area","193307","200169",-3.43%,"Saginaw-Midland-Bay City, MI Combined Statistical Area"
225,"Bloomington, IL Metropolitan Statistical Area","189413","186133",1.76%,"Bloomington-Pontiac, IL Combined Statistical Area"
226,"Warner Robins, GA Metropolitan Statistical Area","188149","179605",4.76%,"Macon-Warner Robins, GA Combined Statistical Area"
227,"Jacksonville, NC Metropolitan Statistical Area","186311","177772",4.80%,
228,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area","181747","178237",1.97%,
229,"El Centro, CA Metropolitan Statistical Area","180191","174528",3.24%,
230,"Kingston, NY Metropolitan Statistical Area","180143","182493",-1.29%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
231,"Redding, CA Metropolitan Statistical Area","179533","177223",1.30%,"Redding-Red Bluff, CA Combined Statistical Area"
232,"Monroe, LA Metropolitan Statistical Area","179238","176441",1.59%,"Monroe-Ruston-Bastrop, LA Combined Statistical Area"
233,"Joplin, MO Metropolitan Statistical Area","177211","175518",0.96%,"Joplin-Miami, MO-OK Combined Statistical Area"
234,"Greenville, NC Metropolitan Statistical Area","175842","168148",4.58%,"Greenville-Washington, NC Combined Statistical Area"
235,"Bend-Redmond, OR Metropolitan Statistical Area","175268","157733",11.12%,"Bend-Redmond-Prineville, OR Combined Statistical Area"
236,"Columbia, MO Metropolitan Statistical Area","174974","162642",7.58%,"Columbia-Moberly-Mexico, MO Combined Statistical Area"
237,"Dover, DE Metropolitan Statistical Area","173533","162310",6.91%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
238,"Punta Gorda, FL Metropolitan Statistical Area","173115","159978",8.21%,"North Port-Sarasota, FL Combined Statistical Area"
239,"Muskegon, MI Metropolitan Statistical Area","172790","172188",0.35%,"Grand Rapids-Wyoming-Muskegon, MI Combined Statistical Area"
240,"Terre Haute, IN Metropolitan Statistical Area","171019","172425",-0.82%,
241,"Yuba City, CA Metropolitan Statistical Area","170955","166892",2.43%,"Sacramento-Roseville, CA Combined Statistical Area"
242,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area","170612","167819",1.66%,
243,"Abilene, TX Metropolitan Statistical Area","169578","165252",2.62%,
244,"Oshkosh-Neenah, WI Metropolitan Statistical Area","169546","166994",1.53%,"Appleton-Oshkosh-Neenah, WI Combined Statistical Area"
245,"Sioux City, IA-NE-SD Metropolitan Statistical Area","169069","168563",0.30%,"Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
246,"Bowling Green, KY Metropolitan Statistical Area","168436","158599",6.20%,"Bowling Green-Glasgow, KY Combined Statistical Area"
247,"Billings, MT Metropolitan Statistical Area","168283","158934",5.88%,
248,"Midland, TX Metropolitan Statistical Area","166718","141671",17.68%,"Midland-Odessa, TX Combined Statistical Area"
249,"Iowa City, IA Metropolitan Statistical Area","166498","152586",9.12%,"Cedar Rapids-Iowa City, IA Combined Statistical Area"
250,"East Stroudsburg, PA Metropolitan Statistical Area","166397","169842",-2.03%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
251,"Eau Claire, WI Metropolitan Statistical Area","165636","161151",2.78%,"Eau Claire-Menomonie, WI Combined Statistical Area"
252,"Bloomington, IN Metropolitan Statistical Area","165577","159549",3.78%,"Bloomington-Bedford, IN Combined Statistical Area"
253,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area","164726","154924",6.33%,
254,"Pueblo, CO Metropolitan Statistical Area","163591","159063",2.85%,"Pueblo-Cañon City, CO Combined Statistical Area"
255,"Janesville-Beloit, WI Metropolitan Statistical Area","161448","160331",0.70%,"Madison-Janesville-Beloit, WI Combined Statistical Area"
256,"State College, PA Metropolitan Statistical Area","160580","153990",4.28%,"State College-DuBois, PA Combined Statistical Area"
257,"Jackson, MI Metropolitan Statistical Area","159494","160248",-0.47%,
258,"Odessa, TX Metropolitan Statistical Area","159436","137130",16.27%,"Midland-Odessa, TX Combined Statistical Area"
259,"Burlington, NC Metropolitan Statistical Area","158276","151131",4.73%,"Greensboro Winston-Salem High Point, NC Combined Statistical Area"
260,"Auburn-Opelika, AL Metropolitan Statistical Area","156993","140247",11.94%,"Columbus-Auburn-Opelika, GA-AL Combined Statistical Area"
261,"Vineland-Bridgeton, NJ Metropolitan Statistical Area","155854","156898",-0.67%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
262,"St. George, UT Metropolitan Statistical Area","155602","138115",12.66%,
263,"Madera, CA Metropolitan Statistical Area","154998","150865",2.74%,"Fresno-Madera, CA Combined Statistical Area"
264,"Niles-Benton Harbor, MI Metropolitan Statistical Area","154636","156813",-1.39%,"South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
265,"Alexandria, LA Metropolitan Statistical Area","154484","153922",0.37%,
266,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area","153638","149618",2.69%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
267,"Albany, GA Metropolitan Statistical Area","153526","157308",-2.40%,
268,"Bangor, ME Metropolitan Statistical Area","152692","153923",-0.80%,
269,"Decatur, AL Metropolitan Statistical Area","152680","153829",-0.75%,"Huntsville-Decatur-Albertville, AL Combined Statistical Area"
270,"Jefferson City, MO Metropolitan Statistical Area","151145","149807",0.89%,
271,"Hanford-Corcoran, CA Metropolitan Statistical Area","150965","152982",-1.32%,"Visalia-Porterville-Hanford, CA Combined Statistical Area"
272,"Wichita Falls, TX Metropolitan Statistical Area","150780","151306",-0.35%,
273,"Coeur d'Alene, ID Metropolitan Statistical Area","150346","138494",8.56%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID Combined Statistical Area"
274,"Texarkana, TX-AR Metropolitan Statistical Area","149769","149198",0.38%,
275,"Monroe, MI Metropolitan Statistical Area","149568","152021",-1.61%,"Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
276,"Hattiesburg, MS Metropolitan Statistical Area","148839","142842",4.20%,
277,"Santa Fe, NM Metropolitan Statistical Area","148686","144170",3.13%,"Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
278,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","148604","148338",0.18%,"Louisville/Jefferson County Elizabethtown Madison, KY-IN Combined Statistical Area"
279,"Grand Junction, CO Metropolitan Statistical Area","148513","146723",1.22%,
280,"Dothan, AL Metropolitan Statistical Area","148171","145639",1.74%,"Dothan-Enterprise-Ozark, AL Combined Statistical Area"
281,"Rocky Mount, NC Metropolitan Statistical Area","148069","152392",-2.84%,"Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
282,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","147919","138028",7.17%,"Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
283,"Florence-Muscle Shoals, AL Metropolitan Statistical Area","146950","147137",-0.13%,
284,"Wheeling, WV-OH Metropolitan Statistical Area","144198","147950",-2.54%,
285,"Rapid City, SD Metropolitan Statistical Area","144134","134598",7.08%,"Rapid City-Spearfish, SD Combined Statistical Area"
286,"Dalton, GA Metropolitan Statistical Area","143781","142227",1.09%,"Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
287,"Valdosta, GA Metropolitan Statistical Area","142875","139588",2.35%,
288,"Napa, CA Metropolitan Statistical Area","142456","136484",4.38%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
289,"Homosassa Springs, FL Metropolitan Statistical Area","141058","141236",-0.13%,
290,"Idaho Falls, ID Metropolitan Statistical Area","139747","133265",4.86%,"Idaho Falls-Rexburg-Blackfoot, ID Combined Statistical Area"
291,"Flagstaff, AZ Metropolitan Statistical Area","139097","134421",3.48%,
292,"Morgantown, WV Metropolitan Statistical Area","138176","129709",6.53%,"Morgantown-Fairmont, WV Combined Statistical Area"
293,"Lebanon, PA Metropolitan Statistical Area","137067","133568",2.62%,"Harrisburg-York-Lebanon, PA Combined Statistical Area"
294,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area","136985","133665",2.48%,
295,"Johnstown, PA Metropolitan Statistical Area","136411","143679",-5.06%,"Johnstown-Somerset, PA Combined Statistical Area"
296,"Springfield, OH Metropolitan Statistical Area","135959","138333",-1.72%,"Dayton-Springfield-Sidney, OH Combined Statistical Area"
297,"Wausau, WI Metropolitan Statistical Area","135868","134063",1.35%,"Wausau-Stevens Point-Wisconsin Rapids, WI Combined Statistical Area"
298,"Battle Creek, MI Metropolitan Statistical Area","134314","136146",-1.35%,"Kalamazoo-Battle Creek-Portage, MI Combined Statistical Area"
299,"Logan, UT-ID Metropolitan Statistical Area","133857","125442",6.71%,
300,"Winchester, VA-WV Metropolitan Statistical Area","133836","128472",4.18%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
301,"Harrisonburg, VA Metropolitan Statistical Area","131131","125228",4.71%,"Harrisonburg-Staunton-Waynesboro, VA Combined Statistical Area"
302,"Lawton, OK Metropolitan Statistical Area","130644","130291",0.27%,
303,"Jackson, TN Metropolitan Statistical Area","129682","130011",-0.25%,
304,"Bismarck, ND Metropolitan Statistical Area","129517","114778",12.84%,
305,"Hammond, LA Metropolitan Statistical Area","128755","121097",6.32%,"New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
306,"Jonesboro, AR Metropolitan Statistical Area","128394","121026",6.09%,"Jonesboro-Paragould, AR Combined Statistical Area"
307,"Pittsfield, MA Metropolitan Statistical Area","127828","131219",-2.58%,
308,"Glens Falls, NY Metropolitan Statistical Area","126918","128923",-1.56%,"Albany-Schenectady, NY Combined Statistical Area"
309,"St. Joseph, MO-KS Metropolitan Statistical Area","126880","127329",-0.35%,"Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
310,"Carbondale-Marion, IL Metropolitan Statistical Area","126828","126575",0.20%,
311,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","126427","131346",-3.75%,
312,"New Bern, NC Metropolitan Statistical Area","126245","126802",-0.44%,"New Bern-Morehead City, NC Combined Statistical Area"
313,"Altoona, PA Metropolitan Statistical Area","125593","127089",-1.18%,
314,"Sherman-Denison, TX Metropolitan Statistical Area","125467","120877",3.80%,"Dallas-Fort Worth, TX-OK Combined Statistical Area"
315,"Goldsboro, NC Metropolitan Statistical Area","124132","122623",1.23%,
316,"Beckley, WV Metropolitan Statistical Area","122507","124898",-1.91%,
317,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area","121846","116901",4.23%,"Seattle-Tacoma, WA Combined Statistical Area"
318,"Mansfield, OH Metropolitan Statistical Area","121707","124475",-2.22%,"Mansfield-Ashland-Bucyrus, OH Combined Statistical Area"
319,"Cleveland, TN Metropolitan Statistical Area","120864","115788",4.38%,"Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
320,"Albany, OR Metropolitan Statistical Area","120547","116672",3.32%,"Portland-Vancouver-Salem, OR-WA Combined Statistical Area"
321,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area","120512","124454",-3.17%,"Pittsburgh-New Castle-Weirton, PA-OH-WV Combined Statistical Area"
322,"Staunton-Waynesboro, VA Metropolitan Statistical Area","120512","118502",1.70%,"Harrisonburg-Staunton-Waynesboro, VA Combined Statistical Area"
323,"San Angelo, TX Metropolitan Statistical Area","119659","111823",7.01%,
324,"The Villages, FL Metropolitan Statistical Area","118891","93420",27.27%,"Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
325,"Farmington, NM Metropolitan Statistical Area","118737","130044",-8.69%,
326,"Lawrence, KS Metropolitan Statistical Area","118053","110826",6.52%,"Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
327,"Watertown-Fort Drum, NY Metropolitan Statistical Area","117635","116229",1.21%,
328,"Owensboro, KY Metropolitan Statistical Area","117463","114752",2.36%,
329,"Muncie, IN Metropolitan Statistical Area","116852","117671",-0.70%,"Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
330,"Morristown, TN Metropolitan Statistical Area","116642","113951",2.36%,"Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
331,"Wenatchee, WA Metropolitan Statistical Area","116178","110884",4.77%,
332,"Williamsport, PA Metropolitan Statistical Area","116048","116111",-0.05%,"Williamsport-Lock Haven, PA Combined Statistical Area"
333,"Brunswick, GA Metropolitan Statistical Area","116003","112370",3.23%,
334,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area","115620","118572",-2.49%,
335,"Sheboygan, WI Metropolitan Statistical Area","115569","115507",0.05%,
336,"Missoula, MT Metropolitan Statistical Area","114181","109299",4.47%,
337,"California-Lexington Park, MD Metropolitan Statistical Area","111413","105151",5.96%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
338,"Michigan City-La Porte, IN Metropolitan Statistical Area","110884","111467",-0.52%,"Chicago-Naperville, IL-IN-WI Combined Statistical Area"
339,"Kankakee, IL Metropolitan Statistical Area","110879","113449",-2.27%,"Chicago-Naperville, IL-IN-WI Combined Statistical Area"
340,"Sumter, SC Metropolitan Statistical Area","107480","107456",0.02%,
341,"Decatur, IL Metropolitan Statistical Area","107303","110768",-3.13%,
342,"Lewiston-Auburn, ME Metropolitan Statistical Area","107233","107702",-0.44%,"Portland-Lewiston-South Portland, ME Combined Statistical Area"
343,"Bay City, MI Metropolitan Statistical Area","105659","107771",-1.96%,"Saginaw-Midland-Bay City, MI Combined Statistical Area"
344,"Ithaca, NY Metropolitan Statistical Area","104926","101564",3.31%,"Ithaca-Cortland, NY Combined Statistical Area"
345,"Lima, OH Metropolitan Statistical Area","104425","106331",-1.79%,"Lima-Van Wert-Celina, OH Combined Statistical Area"
346,"Longview, WA Metropolitan Statistical Area","103468","102410",1.03%,"Portland-Vancouver-Salem, OR-WA Combined Statistical Area"
347,"Gadsden, AL Metropolitan Statistical Area","103057","104430",-1.31%,
348,"Grand Forks, ND-MN Metropolitan Statistical Area","102449","98461",4.05%,
349,"Gettysburg, PA Metropolitan Statistical Area","102295","101407",0.88%,"Harrisburg-York-Lebanon, PA Combined Statistical Area"
350,"Fond du Lac, WI Metropolitan Statistical Area","101973","101633",0.33%,
351,"Cumberland, MD-WV Metropolitan Statistical Area","99979","103299",-3.21%,
352,"Victoria, TX Metropolitan Statistical Area","99913","94003",6.29%,"Victoria-Port Lavaca, TX Combined Statistical Area"
353,"Fairbanks, AK Metropolitan Statistical Area","99631","97581",2.10%,
354,"Sebring, FL Metropolitan Statistical Area","99491","98786",0.71%,
355,"Mankato-North Mankato, MN Metropolitan Statistical Area","99134","96740",2.47%,"Mankato-New Ulm-North Mankato, MN Combined Statistical Area"
356,"Manhattan, KS Metropolitan Statistical Area","98545","92719",6.28%,"Manhattan-Junction City, KS Combined Statistical Area"
357,"Cape Girardeau, MO-IL Metropolitan Statistical Area","97534","96275",1.31%,"Cape Girardeau-Sikeston, MO-IL Combined Statistical Area"
358,"Hot Springs, AR Metropolitan Statistical Area","97177","96024",1.20%,"Hot Springs-Malvern, AR Combined Statistical Area"
359,"Dubuque, IA Metropolitan Statistical Area","97125","93653",3.71%,
360,"Cheyenne, WY Metropolitan Statistical Area","97121","91738",5.87%,
361,"Rome, GA Metropolitan Statistical Area","96504","96317",0.19%,"Rome-Summerville, GA Combined Statistical Area"
362,"Ames, IA Metropolitan Statistical Area","96021","89542",7.24%,"Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
363,"Ocean City, NJ Metropolitan Statistical Area","94727","97265",-2.61%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
364,"Pine Bluff, AR Metropolitan Statistical Area","93696","100258",-6.55%,"Little Rock-North Little Rock, AR Combined Statistical Area"
365,"Parkersburg-Vienna, WV Metropolitan Statistical Area","92332","92673",-0.37%,"Parkersburg-Marietta-Vienna, WV-OH Combined Statistical Area"
366,"Corvallis, OR Metropolitan Statistical Area","87572","85579",2.33%,"Portland-Vancouver-Salem, OR-WA Combined Statistical Area"
367,"Elmira, NY Metropolitan Statistical Area","87071","88830",-1.98%,"Elmira-Corning, NY Combined Statistical Area"
368,"Bloomsburg-Berwick, PA Metropolitan Statistical Area","85229","85562",-0.39%,"Bloomsburg-Berwick-Sunbury, PA Combined Statistical Area"
369,"Grand Island, NE Metropolitan Statistical Area","85066","81850",3.93%,
370,"Grants Pass, OR Metropolitan Statistical Area","84745","82713",2.46%,"Medford-Grants Pass, OR Combined Statistical Area"
371,"Pocatello, ID Metropolitan Statistical Area","83744","82839",1.09%,
372,"Midland, MI Metropolitan Statistical Area","83632","83629",0.00%,"Saginaw-Midland-Bay City, MI Combined Statistical Area"
373,"Kokomo, IN Metropolitan Statistical Area","82556","82752",-0.24%,"Kokomo-Peru, IN Combined Statistical Area"
374,"Great Falls, MT Metropolitan Statistical Area","82278","81327",1.17%,
375,"Casper, WY Metropolitan Statistical Area","82178","75450",8.92%,
376,"Columbus, IN Metropolitan Statistical Area","81162","76794",5.69%,"Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
377,"Hinesville, GA Metropolitan Statistical Area","80198","77917",2.93%,"Savannah-Hinesville-Statesboro, GA Combined Statistical Area"
378,"Danville, IL Metropolitan Statistical Area","79282","81625",-2.87%,
379,"Walla Walla, WA Metropolitan Statistical Area","64282","62859",2.26%,
380,"Enid, OK Metropolitan Statistical Area","63569","60580",4.93%,
381,"Lewiston, ID-WA Metropolitan Statistical Area","62153","60888",2.08%,
382,"Carson City, NV Metropolitan Statistical Area","54521","55274",-1.36%,"Reno-Carson City-Fernley, NV Combined Statistical Area"
